"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Oncorhynchus_BaPy_14d_Lo2015.csv'target='_blank'>Oncorhynchus_BaPy_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","BaPy","14 days","food","29 (3)","0.0452 </br> [0.0231 - 0.0876]","<a href='Oncorhynchus_BaPy_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_chrysene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_chrysene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","chrysene","14 days","food","25 (4)","0.0124 </br> [0.0102 - 0.0148]","<a href='Oncorhynchus_chrysene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_hexachlorobenzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_hexachlorobenzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","hexachlorobenzene","14 days","food","29 (5)","2 </br> [1 - 17]","<a href='Oncorhynchus_hexachlorobenzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_hexachlorocyclohexane_14d_Lo2015.csv'target='_blank'>Oncorhynchus_hexachlorocyclohexane_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","hexachlorocyclohexane","14 days","food","25 (5)","0 </br> [0 - 4]","<a href='Oncorhynchus_hexachlorocyclohexane_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_hexylcyclohexane_14d_Lo2015.csv'target='_blank'>Oncorhynchus_hexylcyclohexane_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","hexylcyclohexane","14 days","food","32 (5)","0.0151 </br> [7.9e-03 - 0.0347]","<a href='Oncorhynchus_hexylcyclohexane_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_methylanthracene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_methylanthracene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","methylanthracene","14 days","food","24 (4)","5.1e-03 </br> [4.2e-03 - 6.6e-03]","<a href='Oncorhynchus_methylanthracene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb153_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb153_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb153","14 days","food","34 (5)","6 </br> [1 - 87]","<a href='Oncorhynchus_pcb153_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb155_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb155_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb155","14 days","food","32 (5)","8 </br> [1 - 109]","<a href='Oncorhynchus_pcb155_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb209_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb209_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb209","14 days","food","34 (5)","9 </br> [1 - 117]","<a href='Oncorhynchus_pcb209_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb52_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb52_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb52","14 days","food","31 (5)","4 </br> [1 - 63]","<a href='Oncorhynchus_pcb52_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pentachlorobenzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pentachlorobenzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pentachlorobenzene","14 days","food","30 (4)","0.2104 </br> [0.1213 - 0.4352]","<a href='Oncorhynchus_pentachlorobenzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_tetrachlorobenzene-benzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_tetrachlorobenzene-benzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","tetrachlorobenzene-benzene","14 days","food","25 (4)","0.154 </br> [0.0843 - 0.4202]","<a href='Oncorhynchus_tetrachlorobenzene-benzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_tetramethyl-benzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_tetramethyl-benzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","tetramethyl-benzene","14 days","food","24 (4)","7e-03 </br> [5.8e-03 - 9e-03]","<a href='Oncorhynchus_tetramethyl-benzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_trans-decalin_14d_Lo2015.csv'target='_blank'>Oncorhynchus_trans-decalin_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","trans-decalin","14 days","food","32 (5)","0.0148 </br> [0.0103 - 0.0216]","<a href='Oncorhynchus_trans-decalin_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oryzias_PE_14d_Liu2021.txt'target='_blank'>Oryzias_PE_14d_Liu2021.txt</a>","<i>Oryzias</i>","fish","PE","14 days","water","12 (1)","0.1489 </br> [0.1062 - 0.1868]","<a href='Oryzias_PE_14d_Liu2021.pdf' target='_blank'>Link</a>","<a id='cite-Liu2021'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.ecoenv.2021.112007'>Liu<i> et al.</i> (2021)</a>",NA
"<a href='Physa_3-8nmAgNP_7d_Silva2020.csv'target='_blank'>Physa_3-8nmAgNP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","3-8nmAgNP","7 days","water","21 (3)","70 </br> [6 - 4054]","<a href='Physa_3-8nmAgNP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a id='cite-Silva2020'target='_blank'></a><a href='http://dx.doi.org/10.1039/d0en00946f'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_50nmAgNP_7d_Silva2020.csv'target='_blank'>Physa_50nmAgNP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","50nmAgNP","7 days","water","18 (3)","42 </br> [2 - 2152]","<a href='Physa_50nmAgNP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_60nmAgNP_7d_Silva2020.csv'target='_blank'>Physa_60nmAgNP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","60nmAgNP","7 days","water","22 (3)","129 </br> [10 - 7552]","<a href='Physa_60nmAgNP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_Ag2S-nP_7d_Silva2020.csv'target='_blank'>Physa_Ag2S-nP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","Ag2S-nP","7 days","water","23 (4)","5 </br> [3 - 7]","<a href='Physa_Ag2S-nP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_AGNO3_7d_Silva2020.csv'target='_blank'>Physa_AGNO3_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","AGNO3","7 days","sediment","24 (3)","25262 </br> [0 - 1706990]","<a href='Physa_AGNO3_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Planorbarius_azinphos-methyl_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_azinphos-methyl_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","azinphos-methyl","12 hours","water","27 (4)","13 </br> [12 - 13]","<a href='Planorbarius_azinphos-methyl_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a id='cite-Cacciatore2018'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Planorbarius_AZM in mixture with carbaryl_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_AZM in mixture with carbaryl_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","AZM in mixture with carbaryl","12 hours","water","28 (4)","12 </br> [11 - 13]","<a href='Planorbarius_AZM in mixture with carbaryl_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'target='_blank'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Planorbarius_carbaryl in mixture with AZM_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_carbaryl in mixture with AZM_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","carbaryl in mixture with AZM","12 hours","water","27 (4)","4 </br> [4 - 4]","<a href='Planorbarius_carbaryl in mixture with AZM_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'target='_blank'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Planorbarius_carbaryl_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_carbaryl_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","carbaryl","12 hours","water","21 (3)","4 </br> [3 - 4]","<a href='Planorbarius_carbaryl_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'target='_blank'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Poecilus_Cd_90d_Skip2014.txt'target='_blank'>Poecilus_Cd_90d_Skip2014.txt</a>","<i>Poecilus</i>","insect","Cd","90 days","food","20 (1)","0.0351 </br> [0.0308 - 0.0392]","<a href='Poecilus_Cd_90d_Skip2014.pdf' target='_blank'>Link</a>","<a id='cite-Skip2014'target='_blank'></a><a href='http://dx.doi.org/10.1371/journal.pone.0108740'>Skip<i> et al.</i> (2014)</a>",NA
"<a href='Radix_BDE99 BDE47_9d_Ratier2019.csv'target='_blank'>Radix_BDE99 BDE47_9d_Ratier2019.csv</a>","<i>Radix</i>","aquatic invertebrate","BDE99 BDE47","9 days","sediment","10 (1)","100 </br> [2 - 2276]","<a href='Radix_BDE99 BDE47_9d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>","biotransformation"
"<a href='Radix_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Radix_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Radix</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","902 </br> [766 - 1040]","<a href='Radix_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Radix_PCB153_9d_Ratier2019.txt'target='_blank'>Radix_PCB153_9d_Ratier2019.txt</a>","<i>Radix</i>","aquatic invertebrate","PCB153","9 days","sediment","10 (1)","111 </br> [4 - 1781]","<a href='Radix_PCB153_9d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Snail_Mn_28d_Gimbert.txt'target='_blank'>Snail_Mn_28d_Gimbert.txt</a>","<i>Snail</i>","terrestrial invertebrate","Mn","28 days","sediment","32 (5)","0.2124 </br> [0.1788 - 0.2477]","<a href='Snail_Mn_28d_Gimbert.pdf' target='_blank'>Link</a>","","3 tested concentrations"
"<a href='Solea_PCB105_90d_Eichinger2010.csv'target='_blank'>Solea_PCB105_90d_Eichinger2010.csv</a>","<i>Solea</i>","fish","PCB105","90 days","food","36 (3)","0.4912 </br> [0.4 - 0.6163]","<a href='Solea_PCB105_90d_Eichinger2010.pdf' target='_blank'>Link</a>","<a id='cite-Eichinger2010'target='_blank'></a><a href='https://doi.org/10.1016/j.seares.2010.05.005'>Eichinger<i> et al.</i> (2010)</a>",NA
"<a href='Solea_PCB153_90d_Eichinger2010.csv'target='_blank'>Solea_PCB153_90d_Eichinger2010.csv</a>","<i>Solea</i>","fish","PCB153","90 days","food","34 (3)","0.4993 </br> [0.3921 - 0.6722]","<a href='Solea_PCB153_90d_Eichinger2010.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1016/j.seares.2010.05.005'target='_blank'>Eichinger<i> et al.</i> (2010)</a>",NA
"<a href='Tubifex_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Tubifex_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Tubifex</i>","aquatic worm","cypermethrine","24 hours","water","16 (2)","77492 </br> [5384 - 1784701]","<a href='Tubifex_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
